tid,name,v_name,active_year_note,property
204,Public Service,Award Category,(1917-present),current
205,Breaking News Reporting,Award Category,(1998-present),current
206,Investigative Reporting,Award Category,(1985-present),current
207,Explanatory Reporting,Award Category,(1998-present),current
208,Local Reporting,Award Category,"(1948-1952, 2007-present)",current
209,National Reporting,Award Category,(1948-present),current
210,International Reporting,Award Category,(1948-present),current
211,Feature Writing,Award Category,(1979-present),current
212,Commentary,Award Category,(1973-present),current
213,Criticism,Award Category,(1973-present),current
214,Editorial Writing,Award Category,(1917-present),current
216,Breaking News Photography,Award Category,(2000-present),current
217,Feature Photography,Award Category,(1968-present),current
218,Drama,Award Category,(1917-present),current
219,Fiction,Award Category,(1948-present),current
220,History,Award Category,(1917-present),current
222,Biography,Award Category,(1917-present),current
223,General Nonfiction,Award Category,(1962-present),current
224,Poetry,Award Category,(1922-present),current
225,Music,Award Category,(1943-present),current
259,Special Citations,Award Category,(1917-present),current
260,Special Citations and Awards,Award Category,(1930-present),current
631,Audio Reporting,Award Category,(2020-present),current
644,Illustrated Reporting and Commentary,Award Category,(2022-present),current
650,Memoir or Autobiography,Award Category,(2023-present),current
215,Editorial Cartooning,Award Category,(1922-2021),
257,Journalism,Award Category,,
258,"Books, Drama &amp; Music",Award Category,,
261,Novel,Award Category,(1917-1947),
263,Correspondence,Award Category,(1929-1947),
264,Explanatory Journalism,Award Category,(1985-1997),
265,General News Reporting,Award Category,(1985-1990),
266,Local General or Spot News Reporting,Award Category,(1964-1984),
267,Local Investigative Specialized Reporting,Award Category,(1964-1984),
268,Local Reporting - Edition time,Award Category,(1953-1963),
269,Local Reporting - No edition time,Award Category,(1953-1963),
270,Newspaper History Award,Award Category,(1918),
271,Photography,Award Category,(1942-1967),
272,Reporting,Award Category,(1917-1947),
273,Specialized Reporting,Award Category,(1985-1990),
274,Spot News Photography,Award Category,(1968-1999),
275,Spot News Reporting,Award Category,(1991-1997),
276,Telegraphic Reporting - International,Award Category,(1942-1947),
277,Telegraphic Reporting - National,Award Category,(1942-1947),
278,Beat Reporting,Award Category,(1991-2006),
609,Criticism or Commentary,Award Category,(1970-1972),
